,Unnamed: 0,Newspaper,Date,Reviewer,Title,Theatre,Review
689,689,Ought To Be Clowns,21/07/2015,mag9l,The Invisible, Bush Theatre,"Rebecca Lenkiewicz’s new drama The Invisible finds itself caught between two stools really – nominally a play about the effects of the decimating cuts to the Legal Aid system, it tries so hard not to be full of such dry legalese, instead focusing on the lives of the people who would use it – who desperately need it – that it almost goes too far in becoming something else entirely. Sponsored by The Law Society as it is with a supporting leaflet giving facts and figures, it’s thus a surprise that this is how it plays out. At the heart of it all in Gail, an overworked solicitor working in a London law centre that is being threatened with closure due to Coalition cuts and from her spins the spider-web of stories. Like the Irishman who can’t pay his bills, or the Pakistani housewife being abused by her husband and mother-in-law. Gail tries to find some respite in online dating but even there she’s tracked down by a man looking for free legal advice – Lenkiewicz leaves us in no doubt as to just how many people have relied on this service and now find themselves in dire straits. But ultimately she does focus too much on them and the minutiae of their lives. Impressively portrayed by the wonderful Alexandra Gilbreath, Gail’s worldview is never challenged and whilst I don’t think many would agree with these cuts, there’s no substantial intellectual interrogation of what it really means to her or the wider world outwith these people here. The situation is illuminated by Lenkiewicz’s writing but more elucidation is also needed to drive the message home more forcefully."
690,690,Ought To Be Clowns,27/03/2011,Ian,Sunday Morning at the Centre of the World, Southwark Playhouse,"On entering the Vault at Southwark Playhouse, a man in a grey tracksuit offers you a furry purple blindfold. ‘It’s your choice to wear it…’ he says, how could you refuse?! Sunday Morning at the Centre of the World is the only play that Louis de Bernières has written but it is a play for voices, originally broadcast as it was on Radio 3 and that is where the blindfold comes in. Bad Physics’ production offers the opportunity to experience it as a radio play, listening to the dialogue but with added sensory experiences, live sound effects, smells and sensations or you can choose to watch the cast perform these sensory interventions and experience it without the element of surprise. The show is an homage to the author‘s life in Earlsfield, South West London and takes direct influence from Dylan Thomas’ Under Milk Wood in its device of an omnipresent narrator inviting us to witness and eavesdrop on the everyday life as he has observed it in Tooting. The cast of eight play a multitude of characters from a wide range of the social spectrum giving a rich slice of the diversity of this community, which like so many communities, is having to deal with changes that have and are continuing to take place. The characterisations sometimes tend towards the broadly stereotypical but only because so many stereotypes are based in truth and the cast never loses sight of the humanity of even the wackier traits of behaviour being portrayed here. I managed about 25 minutes with the blindfold on but my need to lip-read, especially in the rather echoey chamber of the Vault, led me to watch rather than experience the latter part of the show and it was really interesting to be able to take in both possibilities. There’s great fun in watching the actors working at creating the soundscape, sometimes using unusual objects, and seeing the reactions of the blindfolded participants as they react to whichever stimulation they are being subjected to. But it does take away the element of gentle surprise which is the best thing about it, especially when it comes to the smells, it just isn’t the same when you can see someone approaching you with a piece of Tupperware!"
691,691,Ought To Be Clowns,05/05/2013,Ian,Ghost the musical, New Wimbledon,"Given the fortunes of its replacement at the Piccadilly Theatre, the 15 month West End run of Ghost the musical doesn’t seem too bad at all in the end. Based on the famous 1990 film with book by Bruce Joel Rubin and music from Dave Stewart and Glen Ballard, the story of psychics, possession and pottery certainly looked impressive in Matthew Warchus’ cinematically flash production but this wasn’t always enough to overcome the shortcomings of its adaptation. But it was a show that intrigued and one that I came to like quite a lot (I saw it twice – reviews can be read here and here but the first review of the show on here, from its original Manchester run, comes courtesy of my father!) and so I was certainly intrigued to catch it at the New Wimbledon Theatre as it sets out on a major UK tour. The main difference comes with the blessed removal of the heinous song and dance routine ‘Ball of Wax’. I’m not sure that tap dancing ghosts have any place in the world but they really stood out like a sore thumb in the original show with their misguided appearance coming at an appallingly bad time, right after Sam’s death and shattering any poignancy that might have been built up. Now, we get a much mellower song called ‘You Gotta Let Go’ (first introduced on Broadway) which serves the same purpose of getting him acquainted with his new status in the afterlife. Other changes are subtler and by and large, the show feels rather akin to its West End predecessor. Which means the structural issues of the story remain. Between setting up the story of the enduring romance with all its travails and the third-wheel presence of Carl, there’s not really enough time spent on Sam and Molly’s relationship before it is ended – on this plain at least – to really make us buy into the strength of their love and keep us invested in their fate. Without the background of the film, it just wouldn’t stand up as a conceit and it would take an extraordinarily gifted actor in the role of Sam to make it work. Stewart Clarke sounds like a dream and certainly looks the part with his ripped abs but never quite manages to elevate the part in the way that is required and to be honest, I don’t think any of the actors I have seen cover the role have really solved this inherent weakness. But Rebecca Trehearn as Molly, who understudied the role in the West End, plays the emotional centre of the play with passion and grace as she struggles to work through her uncomprehending grief and her glorious vocal is well suited to the powerhouse ballads like the gorgeous ‘With You’. And in the other key role, Wendy Mae Brown’s Oda Mae Brown is a vivacious treat, Whoopi Goldberg memorably won an Oscar for her turn in the film, and her arrival is a much-needed shot in the arm for the first act and an amusing highlight of the second. But it is hard to shake the feeling that many of the ensemble scenes, with their slo-mo choreography from Ashley Wallen, are a tad extraneous – the representations of hectic urban life add little of real benefit to the show, although they do interact extremely well with John Driscoll’s video and projection work which in turn mesh well with Rob Howell’s expertly fast-changing set and Paul Kieve’s nifty illusion work. "
692,692,Ought To Be Clowns,21/06/2010,Ian,The Tempest, Bridge Project at Old Vic,"The Bridge Project, a transatlantic company of actors performing two classic plays in rep directed by Sam Mendes, returns to the Old Vic for its second year after playing numerous venues across the world. After a well-received double-bill of The Cherry Orchard and The Winter’s Tale last year, there’s a greater focus on Shakespeare with As You Like It partnering The Tempest. This is a somewhat low-key interpretation of Shakespeare’s final play. Played in modern dress, it tells of Prospero, usurped as Duke of Milan by his own brother and cast out to sea with his infant daughter Miranda. Shipwrecked on a mysterious island full of magical knowledge, 12 years pass until he is able to confront his enemies aided and abetted by his enslaved island creatures Ariel and Caliban and through a masterful display of control-freakery, manipulate most everyone he deals with into achieving his own aims. Christian Camargo’s Ariel is a delightfully nuanced performance, quietly musical even when not singing and portrayed in a flexibly androgynous way: slipping between shirtless suits, elegant evening wear and a striking set of avenging angel wings with ease. A different Ariel but one which convinced and I very much enjoyed Camargo’s interpretation. And I quite liked Dillane’s pensive, ambivalent, all-too-human Prospero too, less of a wizard and more of a man, so adept at playing the long game he has forgotten how to feel passion yet still wryly quite funny. Together their scenes are excellent, a close chemistry between the two and some mirroring of gestures which was a small, but beautifully observed touch. It’s not that there are any bad performances per se in the rest of the ensemble, although Jonathan Lincoln Fried looked quite uncomfortable, it’s just it is all quite measured, verging on the ponderous. Good quality acting rather than great and so one ends up longing for more interjections from the likes of Juliet Rylance’s Miranda and Edward Bennett’s Ferdinand, both of whom speak beautifully in the illuminating discovery of their passion and Alvin Epstein’s tender, honest Gonzalo. At times, even in the more comic scenes or the traitorous actions of the noblemen, it is so calm it is dangerously close to being dull. Creatively, it looks and sounds beautiful. Stephen Bentley-Klein and Shane Shanahan provide a lush soundscape, with music and sound effects filling the theatre from their stations either side of the stage, Tom Piper’s set design has book-filled nooks and crannies at the front where Prospero is often found reading or taking notes throughout all the scenes, an artfully bare wall at the back vividly lit by Paul Pyant, changing from a deep earthy red for Caliban and an airy turquoisy blue for Ariel. But the focus is centred around a magic circle on the stage: filled with sand, all the action happens in here, Prospero manipulates his players within, observing impatiently without. It is a clever device, simple but highly effective: initially it seemed a little hokey, but soon proved its worth in the opening shipwreck scene and ultimately provides the one truly moving moment at the play’s close. Sure there’s a couple of unnecessary touches, one sound effect which sounded just like someone slurping a drink (I checked behind me, they weren’t) and the home video played at the wedding just felt wrong to me. And given that a considerable portion of Shakespeare’s language has been trimmed, a fair bit of time is given over to wordless dance sequences. Altogether it amounts to a little bit of a damp squib, a solid three star show rising to a four in its final quarter. Given my recent disappointments at the Old Vic, and indeed the Old Vic tunnels (I’m really not having a good time this year with this theatre!), it rated quite well, but when one compares it to the previous Bridge Project plays, it is hard not to be underwhelmed. As a production, it seems ill-suited to its company and fails to play to their strengths; I hope As You Like It is a better fit. The breaking of the spell at the end was a real hairs-on-end moment for me, I loved it. Mostly agree with your review about how reserved the whole thing was, I just wanted them to break free and loose a bit more. Oh well, AYLI is much better. I have to agree that As You Like It felt by far the superior production and as you say, a much better company piece. Dillane just doesn't feel right here. WANTED.  For crimes against the audience. Stephen Dillane. The worst Prospero I have ever seen. Truly. Breath-takingly. Self-indulgent.  I will NEVER pay money to see this actor again. Hee hee, I'd already booked for the Master Builder at the Almeida so hopefully he'll be better in a smaller space…"
693,693,Ought To Be Clowns,04/09/2015,mag9l,As You Like It, Shakespeare’s Globe,"From the minute Michelle Terry’s Rosalind launches into an actual tizzy at the sight of Orlando’s ripped body (an inordinately but irresistibly muscular Simon Harrison), the warmly joyous spirit of Blanche McIntyre’s As You Like It is never in doubt. The contrasting textures of Shakespeare’s elegant yet complex comedy are well balanced, its musical elements pushed to the forefront with a folkish score from Johnny Flynn but above all, there’s a sense of intelligent fun that delights in taking its time to reveal itself. Terry has been establishing herself as one of our leading Shakespeareans and this energetic and impulsive take on Rosalind is an absolute privilege to watch. Constantly on the edge of her emotions, she skips from the giddy heights of love at first sight to the crushing pain of banishment in the blink of an eye. And as she explores the nature of love and the heart, her heart in particular, her deftly comedic manner whilst disguised as Ganymede is just glorious, her continual delight at what she is discovering a constant joy.  This is no one-woman show though, McIntyre encourages performances of depth and daring from all her company. James Garnon’s sardonic Jacques provides a revelatory ‘All the world’s a stage’ which toyed with the audience perfectly, Daniel Crossley’s bright-eyed Touchstone is as quick at talking as he is unexpectedly tap-dancing and always funny with it, Ellie Piercey’s Celia complements Terry perfectly with a graceful older sister vibe that can’t help but be swept along by the exuberance, and Sophia Nomvete’s Audrey is a scene-stealing delight."
694,694,Ought To Be Clowns,24/10/2010,Ian,Red Bud, Royal Court,"Slotting in upstairs at the Royal Court, Red Bud is a play by upcoming American writer Brett Neveu. Five friends make their annual trip to a motorcycle championship in southern Michigan but more than twenty years down the line, the attraction is beginning to wear thin, middle-aged concerns are taking over from high school dreams and not even copious quantities of alcohol and dope can paper over the cracks that have developed in their friendship. This is a review of a preview performance. Initially full of the forced bonhomie, banalities and those easy recollections of the past that are the fallback of people who have drifted apart, the paper-thin veneer of this camaraderie is severely challenged by the introduction of a raft of drinking games from their youth which quickly darkens the mood as tensions rise to the fore, brutal truths are revealed and frustrations worked out as the evening degenerates into bitterness and violence. It is very well done starting off with an amusingly effective stunt and playing out the fast-unravelling scenario resulting in some convincing fight sequences and great use of fake blood given how exposed the actors are in this set-up. Practically unrecognisable from his Scott Neal-seducing days on The Bill, Hywel Simons is most effective as the unemployed Jason whose fervent enthusiasm for the trip can’t mask the fact there’s little else in his life that is working for him and I liked Trevor White’s Bill, ostensibly the most sensible of the group with his steady job as a fireman but acting out in his own way dating nineteen-year-old girls. But it is Peter McDonald’s alpha male that demands the attention with a fierce performance of shocking intensity and controlled fury which goes about as dark as anything I’ve seen this year, especially when contrasted with Lisa Palfrey’s assured turn as his seven months pregnant wife Jen. He is genuinely menacing as the disaffected Greg, terrified at the prospect of fatherhood and seemingly hell-bent on self-destruction: he can also put away a huge amount of liquid as he ends drinking so much, I certainly wouldn’t want to be up against him in a drinking challenge! The space upstairs has been reconfigured into the round, the floor fully turfed, a pick-up truck in the corner, tents scattered around and the makings of a campfire in the middle. It’s an effective design from Tom Hadley although they may have overdone it slightly on the aroma; the grass smell as you walk in is almost enough to give you hay fever! Jon Clark’s naturalistic lighting matches the darkening tone of the play well and I loved the attention to detail with the Wal-Mart shopping bags and genuine US groceries. Neveu’s play doesn’t have anything particularly new to say, the frustrations of middle age and dashed expectations have been well explored by many others but there’s something about the timing of Red Bud which lends its disillusionment with today’s society a deeper resonance. His dialogue is well crafted and given great voice by a strong ensemble and given its short running time, it is remarkable how the production manages to whip up such tense emotion: I don’t think I actually breathed during the final 10 minutes! Thought it was good, but unnecessarily full of swearing as almost every play at the Royal Court seems to be these days. i thought it was brilliant, and having been to red bud twice, thought the way they brought the atmosphere and passion for the event across was as close to reality as they could have got!!very well done!! But as you say, it really doesn't have anything new to say. I enjoyed it while it lasted but it didn't stay in my head for very long.And what was that prosthetic penis? I've never seen one that look like that!!"
695,695,Ought To Be Clowns,28/05/2010,Ian,The Crucible, Open Air Theatre,"It really is a good time to be an Arthur Miller fan in London: All My Sons is receiving rave reviews at the Apollo Theatre and now you can see The Crucible at the Regent’s Park Open Air Theatre in a chilling new production of a play. The Puritans of Salem, Massachusetts are shocked when a group of their young girls are caught dancing in the woods and one of them falls into a coma. Accusations of witchcraft soon start to fly and as the hysteria mounts and a full-blown witch-hunt ensues, vendettas about land and money, and also of the heart, are pursued sub rosa as events snowball to a shockingly brutal conclusion. The struggle between truth and righteousness, between protecting self-interest and rising to the need of the greater good, is personified in the Proctor family, John and Elizabeth. Although written at the time of the McCarthyite anti-American witch-hunts, much of what it concerns struck me as so relevant to us today. The rampant intolerance, the “you’re either with us or against us” mentality, the dangers of social groups coming together to defend their interests against all others, even the struggles of John and Elizabeth to communicate effectively as husband and wife, all remain pertinent even as it is presented to us in seventeenth century dress.  It helps of course that it has been cast extremely well, Patrick O’Kane’s wild-haired John Proctor suggests some of Christopher Eccleston’s level of intensity, fiercely independent but plagued by the conflicting desires to save his wife but also to do the right thing, finally finding serenity in his ultimate decision. Emma Cunniffe is super, playing Goodie Proctor with a tightly coiled restraint marked by sudden bursts of passion or grief that are all the more effective for their unexpectedness And Bettrys Jones as Mary Warren, the Proctors’ maid whose testimony could sway the outcome of the entire accusation of witchcraft is also excellent with a convincing performance. The company of girls from the East15 acting school do a great job as vengeful observers throughout the majority of the play, sat around the edge of the stage their combined influence is quite chilling, as they turn and point to the individual women who are accused, chanting names in a very sinister manner and in the courtroom scene when they fall under the ‘influence’ of Mary Warren, their collective hysteria is genuinely disturbing. Led by the merciless Abigail Williams, played here with a vicious stone-facedness by Emily Taaffe, I’m quite glad I saw it in the daytime as they’re not girls you’d want to meet in the dark! There is a real sense of the enormity of what is happening and the creeping realisation that things are going too far, explicitly through Philip Cumbus’ appalled Reverend Hale but also displayed brilliantly by two of the more minor supporting roles. Paul Kemp as Ezekiel Cheever and Gary Milner as Marshall Herrick both did excellently in recognising the horror of what they were complicit in doing but also the futility of trying to stop it, painfully exemplified through the physical deterioration wrought on Susan Engel’s Rebecca Nurse. It’s also evident even in Taaffe’s anguish as Proctor is led to prison, her twisted games have finally gone too far. The staging is simple, the floor is actually the front wall of a house and little touches like a bed (which ruined my sightline for the first scene) and a cauldron rise up periodically. Striving for historical accuracy with the multitude of accents that would have still persisted in the still relatively newly established settlement is a step I would have avoided as it is really quite distracting for the larger part of the first half, you just have no idea what each new character is going to sound like. And a couple of the townsmen over-egged their accusatory scenes, a little more subtlety might not have gone amiss there. A friend of mine went the night before and after comparing notes, we agreed that you should definitely go and see this at night-time. The flaming torches sound perfect and although the atmosphere was wonderfully tense even in the blazing sunshine of the matinee, it can only be enhanced by watching this as the sun goes down. Whilst not the five-star success that is All My Sons (but then again, I don’t think anything else I see this year will be), I’d definitely give this a worthy four stars and if the weather holds out for you, a lovely way to spend a warm early summer evening. Couldn't agree more. Went to see this at night last week and the growing darkness really does add something special to the play. It really was fantastic. And you can't go wrong with the £5 cheap seats at the back! Have to say I saw this at Press Night tonight – and found some of the casting hideous, and the shocking direction of the second act makes this a 3* show at best! The actor playing John Proctor was appalling so many accents and some bad choices in delivery meant that the man we should sympathise with at the end of Act Two is nothing but another towns-person! Such a shame as the visuals of the set and the atmosphere of the theatre itself is stunning! Have to say I thought John Proctor was horribly miscast. He's meant to be a strong character, but was actually played as a weak man with a dodgy accent that at times sounded like a OTT Woody Allen impression. Other than that the play was great. I agree. This was an extraordinarily wonderful production. Truly mesmerizing, but in a brilliantly disturbing way."
696,696,Ought To Be Clowns,30/12/2011,Ian,The Wonderful Wizard of Oz, Radio 4,"Following on from the less than sucessful adaptation of Goldfinger that left me cold, I was a little trepidatious about listening to this production of The Wonderful Wizard of Oz, especially as it soon came to light that it also featured narration – one of the things I disliked most about the Bond play – but it actually proved to be much more engaging and thoughtful, and ultimately considerably more entertaining. Linda Marshall Griffiths’ dramatisation has taken a fresh new look at the story, returning to L Frank Baum’s source novel and thereby casting off much of the baggage that might have come otherwise from just being a straight run of the film. What we get then, is a highly atmospheric story, partly told by Amelia Clarkson’s excellent Dorothy as part of an inner monologue, which feels darker and more compelling that one might have expected. It is all largely recognisable, but it felt so much fresher here and interesting too. Emma Fielding was great value for money as all of the female characters, and Kevin Eldon, Burn Gorman and Zubin Varla all did well as the Scarecrow, Tin Woodsman and Lion respectively. And Clarkson captured the right note of youthful gumption to make Dorothy a thoroughly likeable heroine."
697,697,Ought To Be Clowns,01/03/2017,mag9l,Ugly Lies The Bone, National,"There’s a moment to catch the breath in the opening scene of Lindsey Ferrentino’s Ugly Lies The Bone as Kate Fleetwood’s Jess removes the virtual reality helmet she’s been wearing to reveal substantial scarring across half her face (excellent prosthetic work from the creative team). Jess is a veteran of three tours of Afghanistan, the last cut short by a close encounter with an IED that ravaged her body, whose recovery process after fourteen months in a hospital bed is not necessarily being aided by a return home to the depressed Florida town where she grew up. What is proving effective is a pioneering form of virtual reality-based therapy (based on real life) that is designed to help Jess manage the constant pain that her injuries cause. In a custom computer-generated world, she is liberated, if only momentarily from excruciating skin grafts and flashbacks and an understandable heaviness of spirit that claws its way back to the surface as soon as the helmet comes off. For in the real world, the end of NASA’s shuttle programme has left Titusville a shadow of the place it once was, making it even harder to reconnect with the sister and ex-lover she finds there. Though there’s real truth in the struggles of readjusting to small-town living no matter your circumstances, Ferrentino doesn’t quite mine deep enough into this mundaneness to say anything. Olivia Darnley’s faithful sister, Kris Marshall as her layabout boyfriend and Ralf Little as the ex are all given too little to work with to make them more than just cyphers, something Indhu Rubasingham’s production can’t rectify for all its charismatic casting. But in Fleetwood, it has the kind of hypnotically magnificent performance that almost makes you forgive any or all shortcomings."
698,698,Ought To Be Clowns,28/12/2013,Ian,That Day We Sang, Royal Exchange,"Victoria Wood’s That Day We Sang premiered at the Manchester International Festival in 2011 and it fair near captured my heart with its archetypal northern charm and its determination to find the special in the mundane. I wrote about the show back then but Sarah Frankcom’s production for the Royal Exchange features a reworked and recast version of this play with songs which has proven to be a canny choice indeed for the Manchester venue’s festive offering. The show tells the story of how a group of Mancunian schoolchildren ended up performing with the Hallé Orchestra in 1929 on a Purcell recording and also the results of a get-together 40 years later for a Granada TV documentary. The two strands interweave and overlap as two of the choir engage in a putative romance after the reunion, the aspirations of their younger selves contrasted with the drabness of the older and the potential spark ignited after the long-awaited meeting. Teams of talented kids rotate the roles of the singing children under Ian Townsend’s sterling musical direction and Anna Francolini’s bottled-up PA Enid and Dean Andrews’ happy-go-lucky schmuck of an insurance clerk Tubby make an utterly adorable couple for whom it is impossible not to root for, and they drive the show through its lumpier moments when the narrative doesn’t quite slide as easily as it could between the two timeframes. "
699,699,Ought To Be Clowns,12/12/2015,mag9l,Chitty Chitty Bang Bang, West Yorkshire Playhouse,"Who knew that Leeds would be a musical theatre hotspot this December but between The Girls and this Music & Lyrics and West Yorkshire Playhouse production of Chitty Chitty Bang Bang, it’s been the place to be for big, warm-hearted musical fun. This is the first new version of Chitty Chitty… since its original 2002 West End production and its many regional tours but in James Brining’s clever and wondrous adaptation, it’s thoroughly revitalised and as lovely as any cherry peach parfait. Ian Fleming’s novel was adapted by Jeremy Sams, via Roald Dahl and Ken Hughes’ own reshaping of the story for the cinema, and with a glorious score from the Sherman Brothers (as if they could do any other kind) beefed up with new songs by them as well, it captures much of the Disney noir feel of the film whilst bringing its own depths too. I’d forgotten how much sadness there was in the tale and that’s something Brining never lets us forget, even whilst delighting us with flying cars and fun. Jon Robyns is ideally cast as Caractacus Potts, a marvellous mixture of melancholy and magic, and with Amy Griffiths as an excellent, empowered Truly Scrumptious, there’s a beautiful delicacy to their work, epitomised by her ‘Lovely Lonely Man’ that I adored. At this performance, Harry Kent and Caitlin Surtees as his children Jeremy and Jemima were both vibrantly assured performers and given there’s a year-long tour ahead (for some of them at least), signs look positive for surviving the choppy waters of regional touring. With such songs and such a company (Sam Harrison and Scott Paige’s henchmen are excellent too), there’s much to love but Brining’s real coup emerges in the staging though. Simon Higlett’s design and Simon Wainwright’s projection work is just inspired, allowing for hugely theatrical rollercoaster moments of flight and genuinely disturbing imagery surrounding Stephen Matthews’ brilliantly eerie Childcatcher – the whole thing meshes together more effectively. I wanted to see it again as soon as I left and with dates stretching through to January 2017, I might just do that! "
700,700,Ought To Be Clowns,30/12/2017,Ian,Big Fish, The Other Palace,
701,701,Ought To Be Clowns,09/04/2018,Ian,Spring Awakening, Hope Mill,"In many ways, the teenage energy of Duncan Sheik and Steven Sater’s Spring Awakening is a great match for the youthful verve of Manchester’s Hope Mill Theatre. The creative upstarts of this fringe powerhouse are maintaining its burgeoning reputation extremely well and with this raucous take on Frank Wedekind’s 1891 play, look set to continue. Luke Sheppard’s production hangs on its superb casting, drawing talent fresh from drama school (Darragh Cowley and Teleri Hughes) as well as a couple of more experienced hands (Ragtime’s Seyi Omooba) And the company fill the stage with a rough-edged vitality that marks out lots of potential for musicals to come. "
702,702,Ought To Be Clowns,13/08/2011,Ian,Anna Christie, Donmar Warehouse,"Generally speaking I try to avoid reading anything about a show, especially reviews, before I’ve seen it and written about it as despite the best of intentions, one always ends up parroting certain views as one’s own and this blog is meant to be about my opinion on shows. But the internet and Twitter in particular makes that increasingly difficult these days and earlier this week I’d been notified of Billington’s 5 star review for the Guardian and the tantalising promise of a ‘glistening torso’ which meant my already-keen anticipation for the Donmar Warehouse’s Anna Christie increased just that little bit more! As part of his farewell season, Michael Grandage is pulling out the big guns and this features the return of two big name alumni for the Donmar – Jude Law has been getting much of the attention, he was an excellent Hamlet in the Donmar’s West End season, but also Ruth Wilson, slightly less heralded though criminally so, as she is one of the brightest acting talents we have in this country, her Stella in A Streetcar Named Desire earning her an Olivier. But to the play: Anna Christie is a 1921 Pulitzer Prize-winning work by Eugene O’Neill about the return of a young Swedish woman – Anna – to her father’s side after he sent her away at the age of 5 to distant family relations. He’s working on a coal barge and so she joins him in the hope of finding a better life as the idealised family life he thought he’d given her couldn’t be farther from the truth. When they rescue a crew from a shipwreck, including the charismatic Mat, there’s a tussle between the two men for her affection though Anna’s future finally seems to be looking up, but the secrets from her past will not stay buried and threaten everything. Last seen here breaking my heart with readings of WWI poetry, Ruth Wilson is simply exceptional as Anna: combining the spiky independence of a woman forced to grow up too quickly with the touching realisation and subsequent willingness to subtly change, to allow the potential for happiness in her life whilst not wholly surrendering her destiny to anyone else. As the wiry seadog Chris, David Hayman gives an intensely fierce reading of a man confronted with the reality of fatherhood rather too late and struggling to deal with the woman that the 5 year old in his mind’s eye has become. And completing the triumvirate of stellar acting performances is Jude Law who is expectation-confoundingly excellent: he subsumes himself so totally into the role of Mat that he is barely recognisable as the Hollywood actor he became. The transformation is partly physical, a full beard and an outrageously muscular physique (which does indeed glisten), but it is so much more than that too. There’s a masculinity, an explosive virility that seeps from him, shot through with a quirkiness of Irish charm, he’s as likely to throw a chair against the wall as he is to dance a little jig of delight and it is just captivating to watch. Ashford and his creative team feel like a breath of fresh air in the Donmar, using the stage in an extremely inventive way – though one might posit that Paul Wills’ caught the Young Vic’s recent I Am The Wind… – to evoke life on the water, the storm in particular is very well mounted. But in what is effectively a three-hander, Ashford also shows an intelligent use of space to show the way the protagonists relate to each other. Though an intimate theatre, the emotional distance feels vast at times, adding a beautiful frisson to the moments when they do finally come together. The supporting cast add atmosphere with their small cameos and sea-shanty singing and the overall effect is stunning. My only little thing was with the accents. O’Neill specifies particular accents for his lead characters and I have to admit to finding them quite challenging. One does gets accustomed but they are just so ‘present’ in the performances, almost a distraction, that it took me until the end of the third act to really forget that Wilson and Law were using them no matter how naturally they were delivered; Hayman’s bizarrely unique (and barely intelligible) sound though never managed to transcend – every time he spoke I first thought to myself, what an odd noise he is making, before paying attention to try and decipher what he was saying."
703,703,Ought To Be Clowns,26/05/2010,Ian,Bull, Finborough,"Mike Bartlett’s new play receives its world premiere here at the Finborough as part of Vibrant, their 30th Anniversary festival celebrating new plays from playwrights with connections to the Finborough theatre. In a move surely designed to provide the West End Whingers with a few more months of jokes, the play is called Bull, making it an ideal companion piece to his last, immensely successful, and Olivier award winning play Cock, I can see the double bill already…A Cock and Bull Story anyone?! The 30 premieres are all staged readings but offer an intriguing look at what some of the most exciting fresh playwrights are currently working on. Faced with recession and cutbacks, the company has decided to lose someone from Thomas’s team. He is determined it won’t be him, but his two colleagues have other ideas. Daniel Ryan, fresh from his run in Posh as a put-upon publican, is Thomas, a put-upon businessman here, unfortunately not the intellectual equal of his peers and consequently the perfect victim for their goading and bullying, the bull to their matadors assumably. Ryan plays the dunderhead extremely well, his indignant anger doing little to help his cause and the way in which he is cut down quite heartbreakingly difficult to watch. Adam Jones and Sian Brooke are simply terrifying as Tony and Isobel, Thomas’ super-confident and viciously manipulative colleagues, toying with him, baiting him and ultimately humiliating him even in the knowledge of their already-secured victory, such is their enjoyment of simply ‘playing the game’. They both delivered bitingly cruel performances, wrapping their tongues around the acerbic text and spitting out their lines with a coldly calculating air. Robin Soans has the minor part of Mr Carter, the boss making the decisions about the redundancies, pulling off a nicely patronising tone of a target-obsessed corporate type."
704,704,Ought To Be Clowns,22/01/2013,Ian,Janie Dee – Satin Doll, The Crazy Coqs,          
705,705,Ought To Be Clowns,03/02/2016,mag9l,The Meeting, Hampstead Downstairs,"Opening up 2016 downstairs at Hampstead, Andrew Payne’s The Meeting starts off brightly as a sharp office-set comedy where a crucial deal looks set to be torpedoed when one of the key parties has to be escorted from the premises after suffering an emotional breakdown. Denis Lawson’s production has fun with corporate behaviour and its nameless threats (“there’s been murmurs on the 10th floor”) but is perhaps a little less sure-footed when it then tackles sexism in the boardroom. Cleverly, for all the talk of concepts and options, entry level kits and secondary licensing, we never find out exactly what it is the beleaguered Stratton and youthfully belligerent Cole do. For The Meeting is more about the way they behave – with each other, with Frank from upstairs, with the various unseen women in their lives, and with Ellen, who is stepping in for the indisposed Jack and disrupting the old boys’ network on which they had been relying for an easy time of it. Payne is good when it comes to showing the power games played in offices and the sexism, both casual and overt, that can permeate such environments, where post-work drinks take place in the nearby gentleman’s establishment rather than the pub. Mark Hadfield’s Stratton, all avuncular bluster, constantly refers to Ellen as Helen; Sam Swainsbury’s cocky Cole, would-be rebellious in hi-tops and t-shirt, treats her with disdain from the start; and Malcolm Sinclair’s wonderfully jocular Frank prowls the space like a big cat, with quiet (and not-so-quiet) authority.  But as the deadline for signing the favourable contract approaches and it becomes increasingly apparent that Rebecca Night’s calmly measured Ellen is no pushover when it comes to checking her colleague’s work, the men start to panic about whether they can get away with it. And so starts a series of manipulations as clause rewrites and amendments are bandied about, meetings interrupted by mysterious happenings on the fourth floor, the upper hand sought by all."
706,706,Ought To Be Clowns,26/02/2017,mag9l,Austentatious, Leicester Square,"Time for the monthly visit to Austentatious and this trip saw Jane Austen’s undiscovered novel Tears and Torsos get its first airing, including all manner of slippery clay, parents inside a tiger, nudity, promiscuity and a diablo maniac in Brighton. As ever, it remains a brilliant way to spend a Sunday night, over and done with in an hour which means you can go home (like my friends did) or carry on drinking (like I accidentally did). Either way, you really should get yourselves along to one of their shows sooner or later. London dates here and UK dates here."
